#track type=interact name="interact Example One" description="An interact file" interactDirectional=true maxHeightPixels=200:100:50 visibility=full
#chrom       chromStart       chromEnd       name       score       value       exp       color       SourceChrom       SourceStart       SourcrEnd       SourceName       SourceStrand       targetChrom       targetStart       targetEnd       targetName       targetStrand
chr1       72793359       72802731       .       10       10       .       0       chr1       72793359       72793859       .       .       chr1       72802124       72802731       .       .
chr1       73206009       93120006       .       9       9       .       0       chr1       73206009       73206509       .       .       chr1       93119292       93120006       .       .
chr1       73619364       75408778       .       7       7       .       0       chr1       73619364       73619864       .       .       chr1       75408225       75408778       .       .
chr1       74013738       74032321       .       7       7       .       0       chr1       74013738       74015647       .       .       chr1       74030316       74032321       .       .
chr1       74238951       74250360       .       8       8       .       0       chr1       74238951       74240077       .       .       chr1       74248564       74250360       .       .
chr1       75147955       75169050       .       8       8       .       0       chr1       75147955       75149471       .       .       chr1       75167410       75169050       .       .
chr1       80841275       83052392       .       7       7       .       0       chr1       80841275       80841775       .       .       chr1       83051820       83052392       .       .
chr1       82070412       82180418       .       9       9       .       0       chr1       82070412       82071007       .       .       chr1       82179918       82180418       .       .
chr1       82184968       82316562       .       7       7       .       0       chr1       82184968       82185543       .       .       chr1       82316062       82316562       .       .
chr1       82247477       82284540       .       8       8       .       0       chr1       82247477       82248494       .       .       chr1       82283722       82284540       .       .
chr1       84240507       84279472       .       17       17       .       0       chr1       84240507       84243581       .       .       chr1       84277797       84279472       .       .
chr1       84443181       84939864       .       7       7       .       0       chr1       84443181       84443698       .       .       chr1       84939197       84939864       .       .
chr1       84841441       84872709       .       8       8       .       0       chr1       84841441       84843099       .       .       chr1       84871364       84872709       .       .
chr1       86037222       86060495       .       108       108       .       0       chr1       86037222       86042941       .       .       chr1       86053523       86060495       .       .
chr1       86037223       86047714       .       8       8       .       0       chr1       86037223       86039218       .       .       chr1       86046443       86047714       .       .
chr1       86037998       86053078       .       13       13       .       0       chr1       86037998       86040697       .       .       chr1       86051601       86053078       .       .
chr1       86046053       86059836       .       24       24       .       0       chr1       86046053       86048975       .       .       chr1       86055989       86059836       .       .
chr1       86487654       86500125       .       7       7       .       0       chr1       86487654       86489100       .       .       chr1       86498205       86500125       .       .
chr1       88211253       88279611       .       69       69       .       0       chr1       88211253       88215206       .       .       chr1       88274241       88279611       .       .
chr1       88211443       88289717       .       68       68       .       0       chr1       88211443       88215970       .       .       chr1       88283239       88289717       .       .
chr1       88211845       88254486       .       8       8       .       0       chr1       88211845       88214142       .       .       chr1       88253640       88254486       .       .
chr1       88212021       88223895       .       35       35       .       0       chr1       88212021       88214773       .       .       chr1       88221836       88223895       .       .
chr1       88212730       88247315       .       8       8       .       0       chr1       88212730       88214421       .       .       chr1       88245828       88247315       .       .
chr1       88212936       88253544       .       10       10       .       0       chr1       88212936       88214492       .       .       chr1       88252638       88253544       .       .
chr1       88212964       88272424       .       7       7       .       0       chr1       88212964       88214546       .       .       chr1       88271045       88272424       .       .
chr1       88213465       88258468       .       7       7       .       0       chr1       88213465       88214594       .       .       chr1       88256978       88258468       .       .
chr1       88215534       88246668       .       8       8       .       0       chr1       88215534       88216121       .       .       chr1       88246168       88246668       .       .
chr1       88219290       88279111       .       7       7       .       0       chr1       88219290       88220794       .       .       chr1       88277785       88279111       .       .
chr1       88222118       88279688       .       12       12       .       0       chr1       88222118       88223833       .       .       chr1       88277628       88279688       .       .
chr1       88251810       88286813       .       9       9       .       0       chr1       88251810       88254282       .       .       chr1       88285569       88286813       .       .
chr1       88252637       88279229       .       23       23       .       0       chr1       88252637       88254528       .       .       chr1       88277024       88279229       .       .
chr1       88261257       88276627       .       7       7       .       0       chr1       88261257       88262373       .       .       chr1       88275023       88276627       .       .
chr1       88264169       88280187       .       45       45       .       0       chr1       88264169       88270772       .       .       chr1       88275367       88280187       .       .
chr1       88266132       88289001       .       7       7       .       0       chr1       88266132       88267782       .       .       chr1       88287741       88289001       .       .
chr1       88267098       88286701       .       7       7       .       0       chr1       88267098       88269030       .       .       chr1       88285571       88286701       .       .
chr1       88275076       88286701       .       9       9       .       0       chr1       88275076       88276881       .       .       chr1       88285570       88286701       .       .
chr1       88277269       88289716       .       29       29       .       0       chr1       88277269       88280118       .       .       chr1       88286813       88289716       .       .
chr1       88405672       88420260       .       8       8       .       0       chr1       88405672       88407359       .       .       chr1       88418767       88420260       .       .
chr1       91052523       91103136       .       8       8       .       0       chr1       91052523       91054478       .       .       chr1       91101045       91103136       .       .
chr1       91056097       91066453       .       8       8       .       0       chr1       91056097       91057838       .       .       chr1       91065410       91066453       .       .
chr1       91056895       91102542       .       9       9       .       0       chr1       91056895       91058118       .       .       chr1       91100308       91102542       .       .
chr1       91440665       91456498       .       13       13       .       0       chr1       91440665       91444117       .       .       chr1       91454695       91456498       .       .
chr1       91442455       91458381       .       7       7       .       0       chr1       91442455       91443909       .       .       chr1       91456924       91458381       .       .
chr1       91444116       91465995       .       16       16       .       0       chr1       91444116       91447042       .       .       chr1       91463036       91465995       .       .
chr1       91445088       91459290       .       13       13       .       0       chr1       91445088       91447076       .       .       chr1       91456991       91459290       .       .
chr1       91446382       91456328       .       8       8       .       0       chr1       91446382       91447789       .       .       chr1       91455230       91456328       .       .
chr1       93444249       93455912       .       7       7       .       0       chr1       93444249       93445935       .       .       chr1       93454102       93455912       .       .
chr1       93520593       93535303       .       9       9       .       0       chr1       93520593       93521144       .       .       chr1       93534508       93535303       .       .
chr1       94688305       123883645       .       7       7       .       0       chr1       94688305       94688805       .       .       chr1       123883034       123883645       .       .
chr1       99294805       99320786       .       7       7       .       0       chr1       99294805       99295357       .       .       chr1       99320286       99320786       .       .
chr1       105102754       105114545       .       12       12       .       0       chr1       105102754       105104656       .       .       chr1       105112291       105114545       .       .
chr1       105110741       105180732       .       34       34       .       0       chr1       105110741       105113967       .       .       chr1       105177239       105180732       .       .
chr1       105908800       105925859       .       19       19       .       0       chr1       105908800       105910448       .       .       chr1       105924000       105925859       .       .
chr1       105942469       105954623       .       7       7       .       0       chr1       105942469       105943508       .       .       chr1       105953194       105954623       .       .
chr1       105953509       105972731       .       8       8       .       0       chr1       105953509       105954985       .       .       chr1       105971713       105972731       .       .
chr1       105953807       105977843       .       8       8       .       0       chr1       105953807       105955305       .       .       chr1       105976803       105977843       .       .
chr1       106158433       106171541       .       13       13       .       0       chr1       106158433       106160511       .       .       chr1       106170409       106171541       .       .
chr1       106760494       106775284       .       7       7       .       0       chr1       106760494       106761623       .       .       chr1       106774274       106775284       .       .
chr1       120121656       120339582       .       7       7       .       0       chr1       120121656       120122189       .       .       chr1       120339082       120339582       .       .
chr1       121327840       121351359       .       18       18       .       0       chr1       121327840       121331412       .       .       chr1       121348651       121351359       .       .
chr1       121331712       121350962       .       9       9       .       0       chr1       121331712       121332863       .       .       chr1       121348856       121350962       .       .
chr1       121334277       121351337       .       11       11       .       0       chr1       121334277       121336293       .       .       chr1       121349210       121351337       .       .
chr1       127665147       127765037       .       7       7       .       0       chr1       127665147       127665647       .       .       chr1       127764477       127765037       .       .
chr1       127733165       127756990       .       8       8       .       0       chr1       127733165       127734725       .       .       chr1       127755450       127756990       .       .
chr1       127734609       127746238       .       8       8       .       0       chr1       127734609       127736373       .       .       chr1       127745082       127746238       .       .
chr1       127734873       127751429       .       19       19       .       0       chr1       127734873       127736824       .       .       chr1       127749401       127751429       .       .
chr1       128855931       129813005       .       7       7       .       0       chr1       128855931       128856431       .       .       chr1       129812436       129813005       .       .
chr1       130144209       130304247       .       7       7       .       0       chr1       130144209       130144809       .       .       chr1       130303747       130304247       .       .
chr1       130797100       130841929       .       12       12       .       0       chr1       130797100       130799089       .       .       chr1       130840230       130841929       .       .
chr1       130797650       130831205       .       7       7       .       0       chr1       130797650       130798761       .       .       chr1       130829534       130831205       .       .
chr1       130797694       130823103       .       18       18       .       0       chr1       130797694       130799488       .       .       chr1       130819820       130823103       .       .
chr1       130797695       130826214       .       8       8       .       0       chr1       130797695       130799089       .       .       chr1       130825099       130826214       .       .
chr1       130797705       130828368       .       7       7       .       0       chr1       130797705       130799116       .       .       chr1       130827482       130828368       .       .
chr1       130824475       130837851       .       28       28       .       0       chr1       130824475       130828446       .       .       chr1       130834441       130837851       .       .
chr1       130830428       130841752       .       13       13       .       0       chr1       130830428       130832468       .       .       chr1       130839797       130841752       .       .
chr1       132010748       132158886       .       8       8       .       0       chr1       132010748       132011407       .       .       chr1       132158386       132158886       .       .
chr1       132369313       132388903       .       9       9       .       0       chr1       132369313       132371103       .       .       chr1       132387152       132388903       .       .
chr1       132373651       132389662       .       8       8       .       0       chr1       132373651       132375386       .       .       chr1       132387780       132389662       .       .
chr1       133209772       133227405       .       7       7       .       0       chr1       133209772       133211825       .       .       chr1       133225997       133227405       .       .
chr1       133253891       133307735       .       9       9       .       0       chr1       133253891       133254495       .       .       chr1       133307235       133307735       .       .
chr1       133361329       133377371       .       50       50       .       0       chr1       133361329       133366327       .       .       chr1       133371650       133377371       .       .
chr1       133915671       133935131       .       18       18       .       0       chr1       133915671       133918625       .       .       chr1       133932903       133935131       .       .
chr1       134060121       134100573       .       7       7       .       0       chr1       134060121       134062330       .       .       chr1       134099201       134100573       .       .
chr1       134062598       134080074       .       9       9       .       0       chr1       134062598       134064507       .       .       chr1       134078574       134080074       .       .
chr1       136654964       152909681       .       7       7       .       0       chr1       136654964       136655525       .       .       chr1       152909181       152909681       .       .
chr1       136947333       136959161       .       7       7       .       0       chr1       136947333       136948651       .       .       chr1       136957795       136959161       .       .
chr1       136958192       136990261       .       7       7       .       0       chr1       136958192       136958793       .       .       chr1       136989529       136990261       .       .
chr1       140265841       140410539       .       7       7       .       0       chr1       140265841       140267623       .       .       chr1       140408970       140410539       .       .
chr1       141897892       160897541       .       8       8       .       0       chr1       141897892       141898458       .       .       chr1       160897037       160897541       .       .
chr1       142226581       179619424       .       7       7       .       0       chr1       142226581       142227151       .       .       chr1       179618924       179619424       .       .
chr1       148328611       166608268       .       7       7       .       0       chr1       148328611       148329111       .       .       chr1       166607664       166608268       .       .
chr1       150892873       170909669       .       8       8       .       0       chr1       150892873       150893373       .       .       chr1       170909053       170909669       .       .
chr1       151117786       151131320       .       7       7       .       0       chr1       151117786       151118804       .       .       chr1       151130298       151131320       .       .
chr1       151129553       151149990       .       8       8       .       0       chr1       151129553       151131080       .       .       chr1       151148261       151149990       .       .
chr1       151130573       151344370       .       17       17       .       0       chr1       151130573       151132917       .       .       chr1       151341424       151344370       .       .
chr1       151131070       151159520       .       9       9       .       0       chr1       151131070       151132900       .       .       chr1       151157792       151159520       .       .
chr1       151131198       151178682       .       7       7       .       0       chr1       151131198       151132901       .       .       chr1       151177470       151178682       .       .
chr1       151131199       151149767       .       13       13       .       0       chr1       151131199       151132733       .       .       chr1       151147290       151149767       .       .
chr1       151137070       151149116       .       7       7       .       0       chr1       151137070       151138790       .       .       chr1       151147341       151149116       .       .
chr1       151151334       151169224       .       23       23       .       0       chr1       151151334       151155432       .       .       chr1       151166689       151169224       .       .
chr1       151166846       151178814       .       7       7       .       0       chr1       151166846       151168193       .       .       chr1       151177669       151178814       .       .
chr1       155063362       155086174       .       7       7       .       0       chr1       155063362       155065124       .       .       chr1       155084708       155086174       .       .
chr1       155083715       155099800       .       15       15       .       0       chr1       155083715       155085792       .       .       chr1       155097127       155099800       .       .
chr1       157410424       157444694       .       12       12       .       0       chr1       157410424       157412082       .       .       chr1       157443333       157444694       .       .
chr1       157502861       157527169       .       15       15       .       0       chr1       157502861       157505450       .       .       chr1       157524973       157527169       .       .
chr1       157506331       157526670       .       15       15       .       0       chr1       157506331       157508651       .       .       chr1       157525677       157526670       .       .
chr1       157516033       157526818       .       14       14       .       0       chr1       157516033       157518057       .       .       chr1       157524927       157526818       .       .
chr1       160977273       160989180       .       7       7       .       0       chr1       160977273       160978788       .       .       chr1       160987441       160989180       .       .
chr1       160978160       160993427       .       12       12       .       0       chr1       160978160       160979880       .       .       chr1       160990688       160993427       .       .
chr1       162863618       162876524       .       8       8       .       0       chr1       162863618       162865426       .       .       chr1       162874789       162876524       .       .
chr1       164150609       164164494       .       18       18       .       0       chr1       164150609       164153091       .       .       chr1       164162056       164164494       .       .
chr1       165183494       165195253       .       7       7       .       0       chr1       165183494       165184653       .       .       chr1       165193637       165195253       .       .
chr1       166279454       166293460       .       21       21       .       0       chr1       166279454       166283221       .       .       chr1       166291259       166293460       .       .
chr1       167375214       167384859       .       7       7       .       0       chr1       167375214       167375817       .       .       chr1       167384359       167384859       .       .
chr1       170173890       170220587       .       7       7       .       0       chr1       170173890       170174454       .       .       chr1       170220087       170220587       .       .
chr1       172311322       172325409       .       9       9       .       0       chr1       172311322       172312362       .       .       chr1       172324383       172325409       .       .
chr1       172650002       172699049       .       19       19       .       0       chr1       172650002       172653291       .       .       chr1       172696703       172699049       .       .
chr1       172650750       172708020       .       10       10       .       0       chr1       172650750       172652531       .       .       chr1       172706292       172708020       .       .
chr1       172696614       172708640       .       7       7       .       0       chr1       172696614       172697662       .       .       chr1       172707355       172708640       .       .
chr1       172894038       172989869       .       11       11       .       0       chr1       172894038       172896638       .       .       chr1       172988464       172989869       .       .
chr1       175624117       175650354       .       7       7       .       0       chr1       175624117       175625074       .       .       chr1       175648372       175650354       .       .
chr1       175630679       175645562       .       17       17       .       0       chr1       175630679       175634613       .       .       chr1       175643624       175645562       .       .
chr1       176812294       176827021       .       7       7       .       0       chr1       176812294       176813396       .       .       chr1       176825222       176827021       .       .
chr1       179546585       179561220       .       10       10       .       0       chr1       179546585       179548825       .       .       chr1       179559303       179561220       .       .
chr1       182439624       182457641       .       8       8       .       0       chr1       182439624       182440124       .       .       chr1       182457061       182457641       .       .
chr1       183114868       183265314       .       7       7       .       0       chr1       183114868       183115368       .       .       chr1       183264569       183265314       .       .
chr1       184807541       184825071       .       7       7       .       0       chr1       184807541       184809027       .       .       chr1       184823345       184825071       .       .
chr1       184809047       184827395       .       27       27       .       0       chr1       184809047       184813609       .       .       chr1       184823346       184827395       .       .
chr1       184824827       184846935       .       7       7       .       0       chr1       184824827       184825327       .       .       chr1       184846374       184846935       .       .
chr1       184825608       184852704       .       9       9       .       0       chr1       184825608       184827997       .       .       chr1       184850926       184852704       .       .
chr1       185488298       186655840       .       8       8       .       0       chr1       185488298       185488834       .       .       chr1       186655340       186655840       .       .
chr1       190041579       190107917       .       7       7       .       0       chr1       190041579       190043486       .       .       chr1       190106549       190107917       .       .
chr1       190042609       190059887       .       8       8       .       0       chr1       190042609       190044277       .       .       chr1       190058673       190059887       .       .
chr1       190049835       190060106       .       7       7       .       0       chr1       190049835       190050889       .       .       chr1       190058691       190060106       .       .
chr1       190131369       190233289       .       7       7       .       0       chr1       190131369       190131869       .       .       chr1       190232713       190233289       .       .
chr1       191627701       191664235       .       7       7       .       0       chr1       191627701       191629116       .       .       chr1       191662532       191664235       .       .
chr1       191627738       191641479       .       7       7       .       0       chr1       191627738       191629312       .       .       chr1       191639925       191641479       .       .
chr1       192076534       192093020       .       9       9       .       0       chr1       192076534       192077352       .       .       chr1       192091169       192093020       .       .
chr1       193291939       193312831       .       7       7       .       0       chr1       193291939       193293275       .       .       chr1       193311225       193312831       .       .
chr1       193310614       193327334       .       11       11       .       0       chr1       193310614       193313082       .       .       chr1       193325187       193327334       .       .
chr1       193314679       193327978       .       22       22       .       0       chr1       193314679       193318089       .       .       chr1       193325002       193327978       .       .
chr1       194363009       194375154       .       11       11       .       0       chr1       194363009       194365429       .       .       chr1       194372706       194375154       .       .
chr1       195016950       195082915       .       8       8       .       0       chr1       195016950       195017519       .       .       chr1       195082415       195082915       .       .
chr10       4393457       4407250       .       9       9       .       0       chr10       4393457       4394658       .       .       chr10       4406165       4407250       .       .
chr10       4611968       4735185       .       7       7       .       0       chr10       4611968       4612686       .       .       chr10       4734685       4735185       .       .
chr10       5661979       5908486       .       7       7       .       0       chr10       5661979       5662479       .       .       chr10       5907894       5908486       .       .
